Aeoliella mucimassa
Alloscardovia theropitheci
Beggiatoa leptomitoformis
Blastocatella fastidiosa
Blastopirellula retiformator
Botrimarina colliarenosi
Botrimarina hoheduenensis
Botrimarina mediterranea
Bythopirellula polymerisocia
Calycomorphotria hydatis
Caulifigura coniformis
Chelatococcus reniformis
Clostridium cellulovorans
Congregibacter litoralis
Crateriforma conspicua
Croceibacterium ferulae
Cutibacterium namnetense
Cyclobacterium amurskyense
Cyclobacterium marinum
Cysteiniphilum halobium
Deinococcus detaillensis
Empedobacter tilapiae
Erythrobacter marisflavi
Facilibium subflavum
Flavobacterium pallidum
Gimesia alba
Gimesia algae
Gimesia aquarii
Gimesia fumaroli
Gimesia panareensis
Hallella colorans
Halomonas marinisediminis
Lactococcus protaetiae
Lawsonella clevelandensis
Mannheimia ovis
Marivibrio halodurans
Marivivens donghaensis
Neisseria musculi
Oceaniglobus ichthyenteri
Paracoccus aestuariivivens
Parahaliea maris
Parviterribacter kavangonensis
Parvularcula flava
Pirellulimonas nuda
Planococcus antioxidans
Polystyrenella longa
Posidoniimonas polymericola
Prevotella brunnea
Pseudobythopirellula maris
Pseudomonas urumqiensis
Raineyella antarctica
Rhodopirellula heiligendammensis
Rhodopirellula pilleata
Rhodopirellula solitaria
Rosistilla oblonga
Rubinisphaera italica
Sellimonas intestinalis
Shimia abyssi
Silicimonas algicola
Silvanigrella aquatica
Sphingorhabdus soli
Stieleria maiorica
Sulfitobacter sabulilitoris
Sulfuriflexus mobilis
Tabrizicola fusiformis
Thiomicrospira aerophila
Thiomicrospira cyclica
Thiomicrospira microaerophila
Winogradskyella helgolandensis
