BacDive ID,Species,Genus,Family,Order,Class,Phylum,Domain,NCBI taxonomy ID,Cell shape,LengthMin,LengthMax,WidthMin,WidthMax,VolumeMin,VolumeMax,AvgVolume,GeoMeanVolume,SurfaceArea
164352,Absicoccus porci,Absicoccus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria,2486576,coccus-shaped,0.3,0.4,0.2,0.3,0.006283185,0.018849556,0.012566371,0.010882796,0.188495559
159837,Abyssibacter profundi,Abyssibacter,Salinisphaeraceae,Nevskiales,Gammaproteobacteria,Proteobacteria,Bacteria,2182787,rod-shaped,1.7,1.9,0.4,0.6,0.19687314,0.480663676,0.338768408,0.307619517,2.766029163
132478,Abyssivirga alkaniphila,Abyssivirga,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1675854,rod-shaped,2,5,0.5,0.5,0.359974158,0.949022781,0.654498469,0.584485822,4.967294133
24718,Acanthopleuribacter pedis,Acanthopleuribacter,Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteria,Bacteria,442870,rod-shaped,2.4,4.7,0.7,1,0.83383105,3.42957198,2.131701515,1.691059906,8.827819456
7517,Acaricomes phytoseiuli,Acaricomes,Micrococcaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,291968,coccus-shaped,1,1.5,0.5,0.8,0.130899694,0.502654825,0.316777259,0.256509966,1.256637061
134101,Acetanaerobacterium elongatum,Acetanaerobacterium,Ruminococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria,258515,rod-shaped,6,6,0.3,0.3,0.417046425,0.417046425,0.417046425,0.417046425,5.654866776
164491,Acetilactobacillus jinshanensis,Acetilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1720083,rod-shaped,1,2.8,0.5,0.8,0.163624617,1.273392222,0.71850842,0.45646283,3.324749153
2853,Acetivibrio clariflavus,Acetivibrio,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,720554,rod-shaped,3.5,3.5,0.45,0.45,0.532794479,0.532794479,0.532794479,0.532794479,4.948008429
132679,Acetivibrio saccincola,Acetivibrio,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1677857,rod-shaped,5,10,0.2,0.2,0.154985238,0.31206487,0.233525054,0.219921459,4.442882938
2827,Acetivibrio straminisolvens,Acetivibrio,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,253314,filament-shaped,3,8,0.5,1,0.556323699,6.021385919,3.288854809,1.830256727,10.88279619
12,Acetobacter cerevisiae,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,178900,rod-shaped,2,4,1,1,1.308996939,2.879793266,2.094395102,1.941556224,8.885765876
23,Acetobacter fabarum,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,483199,rod-shaped,1.2,3,0.8,0.8,0.469144503,1.373923187,0.921533845,0.802850242,4.768602368
22,Acetobacter ghanensis,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,431306,rod-shaped,1.5,2.5,0.8,0.8,0.61994095,1.122595775,0.871268363,0.834232037,4.866934411
13,Acetobacter malorum,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,178901,ellipsoidal,1.1,1.3,0.9,0.9,0.466526509,0.551349511,0.50893801,0.507167785,2.544690049
132413,Acetobacter musti,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,864732,coccus-shaped,1.2,1.7,1.2,1.2,0.904778684,1.281769803,1.093274243,1.076902036,4.523893421
20,Acetobacter nitrogenifigens,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,1120919,rod-shaped,1.5,2,0.1,0.2,0.011519173,0.060737458,0.036128316,0.026450809,0.769529898
19,Acetobacter oeni,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,304077,rod-shaped,3.6,5.1,0.8,0.9,1.675516082,3.053628059,2.364572071,2.261946711,11.42227099
21,Acetobacter senegalensis,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,446692,coccus-shaped,1.2,2,0.8,0.8,0.40212386,0.670206433,0.536165146,0.519139671,2.010619298
17779,Acetomicrobium hydrogeniformans,Acetomicrobium,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria,592015,rod-shaped,1.7,2.7,0.4,0.5,0.19687314,0.497418837,0.347145988,0.31293515,3.010032698
17777,Acetomicrobium mobile,Acetomicrobium,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria,97477,rod-shaped,2,8,0.5,1,0.359974158,6.021385919,3.190680039,1.472257901,8.885765876
140509,Achromobacter agilis,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353888,rod-shaped,0.9,1.5,0.4,0.7,0.096342175,0.48747046,0.291906317,0.216711708,1.931504715
133323,Achromobacter aloeverae,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1750518,rod-shaped,2.5,3,0.8,1.2,1.122595775,2.940530724,2.031563249,1.816872964,8.429777677
140506,Achromobacter deleyi,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353891,rod-shaped,0.9,2,0.4,0.7,0.096342175,0.67989301,0.388117592,0.25593431,2.230309534
140507,Achromobacter kerstersii,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353890,rod-shaped,0.9,1.5,0.4,0.7,0.096342175,0.48747046,0.291906317,0.216711708,1.931504715
140508,Achromobacter pestifer,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353889,rod-shaped,0.9,1.5,0.4,0.7,0.096342175,0.48747046,0.291906317,0.216711708,1.931504715
166226,Acidibrevibacterium fodinaquatile,Acidibrevibacterium,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria,1969806,rod-shaped,3.2,3.3,1.3,1.5,3.672260013,4.948008429,4.310134221,4.262672108,14.25604762
133383,Acidicapsa acidisoli,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,1615681,rod-shaped,1,1.4,0.7,1,0.29504791,0.837758041,0.566402976,0.497170754,3.110018057
142,Acidicapsa borealis,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,946336,rod-shaped,1,3,0.6,0.9,0.226194671,1.717665783,0.971930227,0.623319217,3.998594644
