BacDive ID,Species,Genus,Family,Order,Class,Phylum,Domain,NCBI taxonomy ID,Cell shape,LengthMin,LengthMax,WidthMin,WidthMax,VolumeMin,VolumeMax,SurfaceArea,AvgVolume,GeoMeanVolume
17820,Fervidicoccus fontis,Fervidicoccus,Fervidicoccaceae,Fervidicoccales,Thermoprotei,Crenarchaeota,Archaea,1163730.0,coccus-shaped,1.0,3.0,1.0,3.0,0.5235987755982988,14.137166941154069,9.42477796076938,7.330382858376184,2.7206990463513265
163852,Halalkaliarchaeum desulfuricum,Halalkaliarchaeum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,2055893.0,pleomorphic-shaped,1.5,2.5,0.5,0.6,0.2617993877991494,0.6503096792930871,3.3321622036187746,0.45605453354611825,0.4126144397846389
140834,Halanaeroarchaeum sulfurireducens,Halanaeroarchaeum,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,,coccus-shaped,1.0,2.0,0.5,1.5,0.1308996938995747,2.356194490192345,2.356194490192345,1.2435470920459597,0.5553603672697958
133728,Haloarchaeobius iranensis,Haloarchaeobius,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,996166.0,rod-shaped,3.0,7.0,1.5,2.0,4.417864669110647,19.896753472735355,24.935618646198243,12.157309070923,9.375562073668014
133624,Haloarcula salaria,Haloarcula,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,575195.0,rod-shaped,1.5,1.5,0.7,0.7,0.4874704600820162,0.4874704600820162,3.2986722862692828,0.4874704600820162,0.4874704600820162
133623,Haloarcula tradensis,Haloarcula,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,575194.0,rod-shaped,1.75,1.75,1.0,1.0,1.112647398146385,1.112647398146385,5.497787143782138,1.112647398146385,1.112647398146385
141038,Halobacterium litoreum,Halobacterium,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,,rod-shaped,0.8,2.0,0.4,0.5,0.08377580409572784,0.35997415822383044,1.7771531752633465,0.22187498115977913,0.1736580679349052
134335,Halobacterium salinarum,Halobacterium,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,2242.0,rod-shaped,1.0,2.0,0.5,1.0,0.16362461737446837,1.308996938995747,3.141592653589793,0.7363107781851077,0.4628003060581631
133787,Halobaculum magnesiiphilum,Halobaculum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1017351.0,rod-shaped,0.6,0.6,0.4,0.4,0.058643062867009474,0.058643062867009474,0.7539822368615503,0.058643062867009474,0.058643062867009474
133385,Halobaculum roseum,Halobaculum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1891221.0,pleomorphic-shaped,0.5,0.6,0.3,0.4,0.028274333882308142,0.058643062867009474,0.596075295947766,0.04345869837465881,0.04071969473587704
166103,Halobellus captivus,Halobellus,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,2592614.0,pleomorphic-shaped,1.0,1.2,0.6,0.8,0.22619467105846514,0.4691445029360758,2.384301183791064,0.34766958699727046,0.3257575578870163
133561,Halogranum rubrum,Halogranum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,553466.0,ovoid-shaped,1.5,1.5,1.5,1.5,1.7671458676442586,1.7671458676442586,7.0685834705770345,1.7671458676442586,1.7671458676442586
5875,Halomicrobium katesii,Halomicrobium,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,437163.0,rod-shaped,2.25,2.8,1.8,2.25,4.1987385815227585,8.150960314509142,15.868930534027646,6.17484944801595,5.8501069690212
167389,Halomicrococcus hydrotolerans,Halomicrococcus,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,2304676.0,coccus-shaped,0.8,1.2,0.8,1.2,0.26808257310632905,0.9047786842338602,3.0159289474462017,0.5864306286700947,0.49249913478215573
166473,Halonotius aquaticus,Halonotius,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,2216978.0,rod-shaped,1.1,4.4,0.5,0.5,0.1832595714594046,0.8312130562622995,3.455751918948773,0.507236313860852,0.3902918760134407
5975,Halonotius pteroides,Halonotius,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,268735.0,rod-shaped,4.0,4.0,1.1,1.1,3.4528721256829824,3.4528721256829824,13.823007675795091,3.4528721256829824,3.4528721256829824
133245,Haloparvum alkalitolerans,Haloparvum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,,rod-shaped,0.5,1.2,0.3,0.6,0.028274333882308142,0.2827433388230814,1.0324326977181857,0.15550883635269477,0.08941129439216491
