BacDive ID,Species,Genus,Family,Order,Class,Phylum,Domain,NCBI taxonomy ID,Cell shape,LengthMin,LengthMax,WidthMin,WidthMax,VolumeMin,VolumeMax,SurfaceArea,AvgVolume,GeoMeanVolume
164352,Absicoccus porci,Absicoccus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria,2486576.0,coccus-shaped,0.3,0.4,0.2,0.3,0.006283185307179587,0.018849555921538756,0.1884955592153876,0.012566370614359171,0.010882796185405306
159837,Abyssibacter profundi,Abyssibacter,Salinisphaeraceae,Nevskiales,Gammaproteobacteria,Proteobacteria,Bacteria,2182787.0,rod-shaped,1.7,1.9,0.4,0.6,0.19687313962496036,0.4806636759992383,2.766029163209323,0.3387684078120993,0.3076195166071957
132478,Abyssivirga alkaniphila,Abyssivirga,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1675854.0,rod-shaped,2.0,5.0,0.5,0.5,0.35997415822383044,0.9490227807719166,4.967294132898051,0.6544984694978735,0.5844858224487651
24718,Acanthopleuribacter pedis,Acanthopleuribacter,Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteria,Bacteria,442870.0,rod-shaped,2.4,4.7,0.7,1.0,0.8338310501402908,3.429571980168858,8.827819456185177,2.131701515154574,1.6910599060222304
7517,Acaricomes phytoseiuli,Acaricomes,Micrococcaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,291968.0,coccus-shaped,1.0,1.5,0.5,0.8,0.1308996938995747,0.5026548245743669,1.2566370614359172,0.3167772592369708,0.2565099660323728
134101,Acetanaerobacterium elongatum,Acetanaerobacterium,Ruminococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria,258515.0,rod-shaped,6.0,6.0,0.3,0.3,0.4170464247640451,0.4170464247640451,5.654866776461628,0.4170464247640451,0.4170464247640451
164491,Acetilactobacillus jinshanensis,Acetilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1720083.0,rod-shaped,1.0,2.8,0.5,0.8,0.16362461737446837,1.2733922222550629,3.3247491528264326,0.7185084198147657,0.456462829958923
2853,Acetivibrio clariflavus,Acetivibrio,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,720554.0,rod-shaped,3.5,3.5,0.45,0.45,0.532794479094744,0.532794479094744,4.948008429403924,0.532794479094744,0.532794479094744
132679,Acetivibrio saccincola,Acetivibrio,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1677857.0,rod-shaped,5.0,10.0,0.2,0.2,0.15498523757709648,0.31206487025658614,4.442882938158366,0.2335250539168413,0.21992145883515504
2827,Acetivibrio straminisolvens,Acetivibrio,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,253314.0,filament-shaped,3.0,8.0,0.5,1.0,0.5563236990731926,6.021385919380437,10.882796185405306,3.288854809226815,1.8302567274065573
12,Acetobacter cerevisiae,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,178900.0,rod-shaped,2.0,4.0,1.0,1.0,1.308996938995747,2.8797932657906435,8.885765876316732,2.0943951023931953,1.9415562237186226
