BacDive ID,Species,Genus,Family,Order,Class,Phylum,Domain,NCBI taxonomy ID,Cell shape,LengthMin,LengthMax,WidthMin,WidthMax
17820,Fervidicoccus fontis,Fervidicoccus,Fervidicoccaceae,Fervidicoccales,Thermoprotei,Crenarchaeota,Archaea,1163730,coccus-shaped,1,3,1,3
163852,Halalkaliarchaeum desulfuricum,Halalkaliarchaeum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,2055893,pleomorphic-shaped,1.5,2.5,0.5,0.6
140834,Halanaeroarchaeum sulfurireducens,Halanaeroarchaeum,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,NA,coccus-shaped,1,2,0.5,1.5
133728,Haloarchaeobius iranensis,Haloarchaeobius,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,996166,rod-shaped,3,7,1.5,2
133624,Haloarcula salaria,Haloarcula,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,575195,rod-shaped,1.5,1.5,0.7,0.7
133623,Haloarcula tradensis,Haloarcula,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,575194,rod-shaped,1.75,1.75,1,1
141038,Halobacterium litoreum,Halobacterium,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,NA,rod-shaped,0.8,2,0.4,0.5
134335,Halobacterium salinarum,Halobacterium,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,2242,rod-shaped,1,2,0.5,1
133787,Halobaculum magnesiiphilum,Halobaculum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1017351,rod-shaped,0.6,0.6,0.4,0.4
133385,Halobaculum roseum,Halobaculum,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1891221,pleomorphic-shaped,0.5,0.6,0.3,0.4
166103,Halobellus captivus,Halobellus,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,2592614,pleomorphic-shaped,1,1.2,0.6,0.8
133561,Halogranum rubrum,Halogranum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,553466,ovoid-shaped,1.5,1.5,1.5,1.5
5875,Halomicrobium katesii,Halomicrobium,Haloarculaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,437163,rod-shaped,2.25,2.8,1.8,2.25
167389,Halomicrococcus hydrotolerans,Halomicrococcus,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,2304676,coccus-shaped,0.8,1.2,0.8,1.2
166473,Halonotius aquaticus,Halonotius,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,2216978,rod-shaped,1.1,4.4,0.5,0.5
5975,Halonotius pteroides,Halonotius,Halorubraceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,268735,rod-shaped,4,4,1.1,1.1
133245,Haloparvum alkalitolerans,Haloparvum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,NA,rod-shaped,0.5,1.2,0.3,0.6
140835,Haloparvum sedimenti,Haloparvum,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1678448,pleomorphic-shaped,0.6,0.8,0.3,0.4
133906,Halopelagius fulvigenes,Halopelagius,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1198324,coccus-shaped,1.2,1.2,1.2,1.2
133781,Halopenitus persicus,Halopenitus,Halorubraceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,1048396,rod-shaped,7,7,1,1
5974,Halopiger aswanensis,Halopiger,Natrialbaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,148449,rod-shaped,3.75,3.75,0.75,0.75
133244,Halopiger thermotolerans,Halopiger,Natrialbaceae,Natrialbales,Halobacteria,Euryarchaeota,Archaea,NA,pleomorphic-shaped,1,6,0.5,1
158747,Haloplanus salinarum,Haloplanus,Haloferacaceae,Haloferacales,Halobacteria,Euryarchaeota,Archaea,NA,pleomorphic-shaped,0.6,3.5,0.6,2.3
