BacDive ID,Species,Genus,Family,Order,Class,Phylum,Domain,NCBI taxonomy ID,Cell shape,Cell length min (μm),Cell length max (μm),Cell width min (μm),Cell width max (μm),Cell volume min (μm³),Cell volume max (μm³),Average cell volume (μm³)
164352,Absicoccus porci,Absicoccus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Bacteria,2486576,coccus-shaped,0.3,0.4,0.2,0.3,0,0.01,0.005
159837,Abyssibacter profundi,Abyssibacter,Salinisphaeraceae,Nevskiales,Gammaproteobacteria,Proteobacteria,Bacteria,2182787,rod-shaped,1.7,1.9,0.4,0.6,0.2,0.48,0.34
132478,Abyssivirga alkaniphila,Abyssivirga,Lachnospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1675854,rod-shaped,2,5,0.5,0.5,0.36,0.95,0.655
24718,Acanthopleuribacter pedis,Acanthopleuribacter,Acanthopleuribacteraceae,Acanthopleuribacterales,Holophagae,Acidobacteria,Bacteria,442870,rod-shaped,2.4,4.7,0.7,1,0.83,3.43,2.13
7517,Acaricomes phytoseiuli,Acaricomes,Micrococcaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,291968,coccus-shaped,1,1.5,0.5,0.8,0.07,0.27,0.17
134101,Acetanaerobacterium elongatum,Acetanaerobacterium,Ruminococcaceae,Eubacteriales,Clostridia,Firmicutes,Bacteria,258515,rod-shaped,6,6,0.3,0.3,0.42,0.42,0.42
164491,Acetilactobacillus jinshanensis,Acetilactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1720083,rod-shaped,1,2.8,0.5,0.8,0.16,1.27,0.715
2853,Acetivibrio clariflavus,Acetivibrio,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,720554,rod-shaped,3.5,3.5,0.45,0.45,0.53,0.53,0.53
132679,Acetivibrio saccincola,Acetivibrio,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1677857,rod-shaped,5,10,0.2,0.2,0.15,0.31,0.23
2827,Acetivibrio straminisolvens,Acetivibrio,Oscillospiraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,253314,filament-shaped,3,8,0.5,1,,,
12,Acetobacter cerevisiae,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,178900,rod-shaped,2,4,1,1,1.31,2.88,2.095
23,Acetobacter fabarum,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,483199,rod-shaped,1.2,3,0.8,0.8,0.47,1.37,0.92
22,Acetobacter ghanensis,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,431306,rod-shaped,1.5,2.5,0.8,0.8,0.62,1.12,0.87
13,Acetobacter malorum,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,178901,ellipsoidal,1.1,1.3,0.9,0.9,,,
132413,Acetobacter musti,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,864732,coccus-shaped,1.2,1.7,1.2,1.2,0.9,0.9,0.9
20,Acetobacter nitrogenifigens,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,1120919,rod-shaped,1.5,2,0.1,0.2,0.01,0.06,0.035
19,Acetobacter oeni,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,304077,rod-shaped,3.6,5.1,0.8,0.9,1.68,3.05,2.365
21,Acetobacter senegalensis,Acetobacter,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,446692,coccus-shaped,1.2,2,0.8,0.8,0.27,0.27,0.27
17779,Acetomicrobium hydrogeniformans,Acetomicrobium,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria,592015,rod-shaped,1.7,2.7,0.4,0.5,0.2,0.5,0.35
17777,Acetomicrobium mobile,Acetomicrobium,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria,97477,rod-shaped,2,8,0.5,1,0.36,6.02,3.19
140509,Achromobacter agilis,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353888,rod-shaped,0.9,1.5,0.4,0.7,0.1,0.49,0.295
133323,Achromobacter aloeverae,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1750518,rod-shaped,2.5,3,0.8,1.2,1.12,2.94,2.03
140506,Achromobacter deleyi,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353891,rod-shaped,0.9,2,0.4,0.7,0.1,0.68,0.39
140507,Achromobacter kerstersii,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353890,rod-shaped,0.9,1.5,0.4,0.7,0.1,0.49,0.295
140508,Achromobacter pestifer,Achromobacter,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1353889,rod-shaped,0.9,1.5,0.4,0.7,0.1,0.49,0.295
166226,Acidibrevibacterium fodinaquatile,Acidibrevibacterium,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria,1969806,rod-shaped,3.2,3.3,1.3,1.5,3.67,4.95,4.31
133383,Acidicapsa acidisoli,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,1615681,rod-shaped,1,1.4,0.7,1,0.3,0.84,0.57
142,Acidicapsa borealis,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,946336,rod-shaped,1,3,0.6,0.9,0.23,1.72,0.975
159709,Acidicapsa dinghuensis,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,2218256,rod-shaped,0.5,1.5,0.4,0.8,0.05,0.62,0.335
143,Acidicapsa ligni,Acidicapsa,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,Bacteria,542300,rod-shaped,1,2,0.5,0.8,0.16,0.87,0.515
166169,Acidimangrovimonas sediminis,Acidimangrovimonas,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,2056283,rod-shaped,2,6,1.5,2.3,2.65,21.74,12.195
106,Acidimicrobium ferrooxidans,Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Bacteria,525909,rod-shaped,1,1.5,0.35,0.4,0.08,0.17,0.125
26,Acidiphilium cryptum,Acidiphilium,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,524,rod-shaped,0.6,0.8,0.3,0.4,0.04,0.08,0.06
158421,Acidipropionibacterium virtanenii,Acidipropionibacterium,Propionibacteriaceae,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,2057246,rod-shaped,1,5,0.7,0.7,0.3,1.83,1.065
82,Acidisoma sibiricum,Acidisoma,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,512383,coccus-shaped,1.4,3.1,0.7,1.2,0.18,0.9,0.54
81,Acidisoma tundrae,Acidisoma,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,512382,coccus-shaped,1.9,4.1,0.8,1.5,0.27,1.77,1.02
67,Acidisphaera rubrifaciens,Acidisphaera,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,50715,coccus-shaped,0.8,1.2,0.7,1,0.18,0.52,0.35
130138,Acidithiobacillus ferridurans,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria,1232575,rod-shaped,1.5,1.5,1.5,1.5,1.77,1.77,1.77
159192,Acidithiobacillus sulfuriphilus,Acidithiobacillus,Acidithiobacillaceae,Acidithiobacillales,Acidithiobacillia,Proteobacteria,Bacteria,1867749,rod-shaped,1.5,2.5,0.5,0.5,0.26,0.46,0.36
133033,Acidobacterium ailaaui,Acidobacterium,Acidobacteriaceae,Actinomycetales,Acidobacteriia,Acidobacteria,Bacteria,1382359,rod-shaped,1.3,1.7,0.7,0.9,0.41,0.89,0.65
133532,Acidocella aluminiidurans,Acidocella,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,472056,rod-shaped,1.4,1.4,0.3,0.3,0.09,0.09,0.09
158255,Acidocella aquatica,Acidocella,Acetobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,1922313,rod-shaped,1,2.8,0.6,0.8,0.23,1.27,0.75
2903,Acidovorax caeni,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,343013,rod-shaped,1.8,1.8,0.9,0.9,0.95,0.95,0.95
158808,Acidovorax kalamii,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,NA,rod-shaped,2,2.8,0.71,0.76,0.7,1.16,0.93
2905,Acidovorax radicis,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,999386,rod-shaped,1.5,2,0.3,0.5,0.1,0.36,0.23
2904,Acidovorax soli,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,592050,rod-shaped,1.3,1.3,0.5,0.5,0.22,0.22,0.22
23868,Acidovorax wautersii,Acidovorax,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,1177982,rod-shaped,3,3,0.45,0.45,0.45,0.45,0.45
130449,Acinetobacter boissieri,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1219383,ovoid-shaped,1.5,1.5,1.5,1.5,,,
140606,Acinetobacter defluvii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1871111,coccus-shaped,0.7,1,0.6,0.9,0.11,0.38,0.245
140912,Acinetobacter equi,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,NA,rod-shaped,1,1.5,0.8,0.8,0.37,0.62,0.495
133403,Acinetobacter larvae,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1789224,coccus-shaped,0.5,1.1,0.2,0.8,0,0.27,0.135
130450,Acinetobacter nectaris,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1392540,ovoid-shaped,1.5,1.5,1.5,1.5,,,
158638,Acinetobacter piscicola,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,NA,rod-shaped,0.9,2.2,0.6,1.2,0.2,2.04,1.12
164465,Acinetobacter pullicarnis,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,2576829,coccus-shaped,1.6,1.8,0.6,0.8,0.11,0.27,0.19
132918,Acinetobacter puyangensis,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,1096779,rod-shaped,0.9,0.9,0.6,0.6,0.2,0.2,0.2
134305,Actibacter sediminis,Actibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,449463,rod-shaped,2.8,2.8,0.8,0.8,1.27,1.27,1.27
24522,Actibacterium mucosum,Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,1454373,ovoid-shaped,1,1,0.35,0.35,,,
141146,Actibacterium pelagium,Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,2029103,rod-shaped,1.5,2.5,0.6,1.2,0.37,2.38,1.375
141055,Actibacterium ureilyticum,Actibacterium,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,NA,rod-shaped,1.5,1.9,0.6,0.8,0.37,0.82,0.595
